name	count	people	institution	year
Tangible bits: towards seamless interfaces between people, bits and atoms	1004	Hiroshi Ishii, Brygg Ullmer	MIT	1997
Labeling images with a computer game	421	Luis von Ahn, Laura Dabbish	Carnegie Mellon University	2004
Low-cost multi-touch sensing through frustrated total internal reflection	319	Jefferson Y. Han	New York University	2005
Technology probes: inspiring design for and with families	271	Hilary Hutchinson, Wendy Mackay, Bo Westerlund, Benjamin B. Bederson, Allison Druin, Catherine Plaisant, Michel Beaudouin-Lafon, Stéphane Conversy, Helen Evans, Heiko Hansen, Nicolas Roussel, Björn Eiderbäck	University of Maryland	2003
Re-place-ing space: the roles of place and space in collaborative systems	259	Steve Harrison, Paul Dourish	PARC	1996
Crowdsourcing user studies with Mechanical Turk	255	Aniket Kittur, Ed H. Chi, Bongwon Suh	PARC	2008
Unpacking "privacy" for a networked world	241	Leysia Palen, Paul Dourish	University of Colorado	2003
Why we tag: motivations for annotation in mobile and online media	236	Morgan Ames, Mor Naaman	Stanford University	2007
Ambiguity as a resource for design	231	William W. Gaver, Jacob Beaver, Steve Benford	Royal College of Art	2003
Augmented surfaces: a spatially continuous work space for hybrid computing environments	227	Jun Rekimoto, Masanori Saitoh	Sony Computer Science Labs	1999
Information revelation and privacy in online social networks	218	Ralph Gross, Alessandro Acquisti	Carnegie Mellon University	2005
Digital family portraits: supporting peace of mind for extended family members	186	Elizabeth D. Mynatt, Jim Rowan, Sarah Craighill, Annie Jacobs	Georgia Institute of Technology	2001
Cooperative inquiry: developing new technologies for children with children	180	Allison Druin	University of Maryland	1999
Sensing techniques for mobile interaction	179	Ken Hinckley, Jeff Pierce, Mike Sinclair, Eric Horvitz	Microsoft Research	2000
Getting a grip on tangible interaction: a framework on physical space and social interaction	178	Eva Hornecker, Jacob Buur	University of Sussex	2006
User-defined gestures for surface computing	169	Jacob O. Wobbrock, Meredith Ringel Morris, Andrew D. Wilson	University of Washington	2009
Requirements for photoware	159	David Frohlich, Allan Kuchinsky, Celine Pering, Abbe Don, Steven Ariss	Hewlett Packard Laboratories	2002
An architecture for privacy-sensitive ubiquitous computing	154	Jason I. Hong, James A. Landay	University of California, Berkeley	2004
Gestures without libraries, toolkits or training: a $1 recognizer for user interface prototypes	150	Jacob O. Wobbrock, Andrew D. Wilson, Yang Li	University of Washington	2007
Staying open to interpretation: engaging multiple meanings in design and evaluation	149	Phoebe Sengers, Bill Gaver	Cornell University	2006